013670-99999 FAGERNES                        60.983    9.217   365.4 1982-10-01 2020-02-06
013680-99999 LEIRIN                          61.016    9.288   822.0 1988-10-14 2020-02-06
013755-99999 GULLFAX (PLATFORM)              61.033    2.033    10.0 1989-11-15 2020-02-06
013780-99999 LILLEHAMMER-SAETHERENGEN        61.100   10.467   239.0 1973-01-01 2020-02-06
013820-99999 KISE                            60.767   10.800   128.0 1973-01-01 2020-02-06
013840-99999 GARDERMOEN                      60.194   11.100   207.6 1940-05-11 2020-02-06
013890-99999 RENA AP                         61.183   11.367   255.7 1973-01-01 2020-02-06
014000-99999 EKOFISK                         56.550    3.217    48.8 1998-12-23 2020-02-06
014030-99999 UTSIRA FYR                      59.300    4.867    56.3 1928-01-02 2020-02-06
014033-99999 EKOFISK OIL PLTFRM              56.550    3.250    48.8 1981-05-06 2020-02-06
014060-99999 SLATTEROY FYR                   59.917    5.067    16.0 1973-01-01 2020-02-06
014080-99999 KARMOY                          59.345    5.208    26.2 1984-09-09 2020-02-06
014150-99999 SOLA                            58.877    5.638     8.8 1940-04-10 2020-02-06
014250-99999 EIK HOVE                        58.517    6.517    66.0 1973-01-01 2020-02-06
014270-99999 LISTA FYR                       58.117    6.567    14.0 1928-01-01 2020-02-06
014280-99999 LISTA                           58.099    6.626     8.8 1973-01-01 2007-08-13
014420-99999 BYGLANDSFJORD                   58.667    7.800   211.0 1973-01-01 2020-02-06
014480-99999 OKSOY FYR                       58.067    8.050     8.0 1949-01-01 2020-02-06
014520-99999 KJEVIK                          58.204    8.085    17.4 1940-05-01 2020-02-06
014550-99999 TVEITSUND                       59.033    8.517   252.0 1973-01-01 2020-02-06
014650-99999 TORUNGEN FYR                    58.400    8.783    15.0 1973-01-01 2019-07-03
014670-99999 LYNGOR FYR                      58.633    9.150     5.0 1973-01-01 2020-02-06
014700-99999 GVARV                           59.383    9.200    93.0 1973-01-01 2020-02-06
014703-99999 NOTODDEN                        59.566    9.212    19.2 1990-10-19 2020-02-06
014730-99999 KONGSBERG BRANNSTASJON          59.617    9.633   173.0 2004-05-10 2020-02-06
014750-99999 SKIEN-GEITERYGGEN               59.183    9.567   141.0 1985-07-17 2004-12-30
014770-99999 KONNERUD                        59.717   10.150   193.0 1973-01-01 2020-02-06
014820-99999 FERDER LH                       59.033   10.517     7.7 1931-01-01 2020-02-06
014830-99999 TORP                            59.183   10.267    88.0 1973-01-01 2020-02-06
014843-99999 OSEBERG                         59.317   10.450    15.0 1990-10-19 2020-02-06
014880-99999 HAKADAL                         60.117   10.833   170.0 1940-04-07 2020-02-06
014920-99999 OSLO-BLINDERN                   59.950   10.717    97.0 1973-08-03 2020-02-06
014940-99999 RYGGE                           59.379   10.786    53.0 1973-01-01 2020-02-06
020120-99999 RITSEM                          67.733   17.467   521.0 1981-08-01 2005-09-24
020200-99999 KATTERJAKK                      68.417   18.167   517.0 1977-07-01 2019-04-01
020240-99999 STORA SJOFALLET                 67.500   18.300   425.0 2001-06-01 2020-02-06
020290-99999 TARFALA                         67.917   18.600  1146.0 2001-06-01 2020-02-06
020310-99999 RENSJON                         68.067   19.833   493.0 2001-06-01 2020-02-06
020360-99999 NIKKALUOKTA                     67.850   19.033   468.0 1977-07-01 2020-02-06
020380-99999 LATNIVAARA                      67.250   20.267   453.0 2001-06-01 2020-02-06
020440-99999 KIRUNA                          67.822   20.337   459.6 1977-07-01 2020-02-06
020490-99999 GALLIVARE                       67.132   20.815   313.0 1979-08-03 2020-02-06
020540-99999 NEDRE SOPPERO                   68.050   21.750   360.0 1955-01-01 2016-04-21
020600-99999 NAIMAKKA                        68.683   21.533   403.0 1955-01-01 2004-10-21
020640-99999 SAITTAROVA                      67.333   22.233   240.0 1973-01-01 2020-02-06
020720-99999 PARKALOMPOLO                    67.733   22.833   313.0 2001-06-01 2020-02-06
020800-99999 KARESUANDO                      68.450   22.450   331.0 1935-01-01 2012-08-31
020860-99999 LAINIO                          67.767   22.350   317.0 1955-01-01 2005-03-17
020950-99999 PAJALA                          67.200   23.383   171.0 1955-01-01 2020-02-06
021010-99999 HEMAVAN                         65.806   15.083   458.1 1973-01-02 2020-02-06
021020-99999 STEKENJOKK                      65.100   14.517  1036.0 1958-11-01 2020-02-06
021030-99999 HEMAVAN-GIEREVARTO              65.783   15.067   793.0 1987-11-18 2020-02-06
021080-99999 KLIMPFJALL                      65.067   14.800   593.0 1977-07-01 2005-09-21
021100-99999 GIELAS                          65.333   15.067   577.0 1987-05-18 2020-02-06
021200-99999 KVIKKJOKK-ARRENJARKA            66.883   18.017   315.0 1935-01-01 2013-03-31
021210-99999 MIERKENIS                       66.683   16.117   615.0 2001-06-01 2020-02-06
021240-99999 ARJEPLOG                        66.050   17.833   432.0 1977-04-05 2020-02-06
021280-99999 GUNNARN                         65.000   17.700   283.0 1973-01-01 2013-04-02
021300-99999 ROPARUDDEN                      66.483   16.417   481.0 1973-01-01 2016-04-21
021350-99999 BURESJON                        65.567   17.867   393.0 1973-01-01 2020-02-06
021410-99999 TJAKAAPE                        66.317   19.217   582.0 1973-01-01 2020-02-06
021420-99999 JOKKMOKK                        66.496   20.147   275.5 1977-07-01 2000-05-10
021440-99999 ABRAUR                          65.983   18.933   374.0 1977-07-01 2004-06-26
021470-99999 MALA-BRANNAN                    65.150   18.600   363.0 1973-01-01 2020-02-06
021490-99999 ARVIDSJAUR                      65.600   19.267   384.0 2001-07-01 2020-02-06
021510-99999 JOKKMOKK FPL                    66.483   20.167   275.0 1973-01-01 2020-02-06
021540-99999 VIDSEL                          65.875   20.150   182.0 1977-07-01 2020-02-06
021610-99999 NATTAVAARA                      66.750   20.933   327.0 1973-01-01 2020-02-06
021640-99999 PALKEM                          66.383   21.633   263.0 1973-05-01 2003-07-19
021730-99999 ALVSBYN                         65.667   21.067    43.0 2001-07-01 2020-02-06
021740-99999 LAKATRASK                       66.283   21.133   186.0 2001-07-01 2020-02-06
021760-99999 PITE-RONNSKAR                   65.033   21.567     4.0 1997-09-01 2020-02-06
021810-99999 OVERKALIX SVARTBYN              66.267   22.850    62.0 1996-08-01 2020-02-06
021840-99999 PAHAROVA                        66.817   22.333   229.0 2001-07-01 2020-02-06
021860-99999 KALLAX                          65.544   22.122    19.8 1977-07-01 2020-02-06
021880-99999 RODKALLEN                       65.317   22.383     2.0 1973-01-01 2020-02-06
021910-99999 STORON                          65.700   23.100     4.0 2001-07-01 2020-02-06
021960-99999 HAPARANDA                       65.833   24.150     6.0 1931-01-01 2012-12-31
021990-99999 YLINENJARVI                     66.617   23.467   132.0 2001-07-01 2020-02-06
022000-99999 EDEVIK                          63.983   12.867   425.0 1977-07-01 2004-12-25
022060-99999 STORLIEN-STORVALLEN             63.283   12.133   583.0 1935-01-01 2013-02-28
022090-99999 SYLARNA                         63.050   12.283  1030.0 1973-01-01 2020-02-06
022160-99999 MATTMAR                         63.300   13.883   365.0 1973-01-01 2016-04-21
022210-99999 KORSVATTNET                     63.833   13.500   717.0 1997-12-01 2020-02-06
022220-99999 GADDEDE                         64.500   14.167   330.0 1977-07-01 2008-02-18
022260-99999 OSTERSUND                       63.200   14.500   376.0 1935-01-01 2020-02-06
022300-99999 GUBBHOGEN                       64.217   15.550   310.0 1973-01-01 2020-02-06
022310-99999 FOLLINGE                        63.683   14.600   362.0 2001-07-01 2020-02-06
022340-99999 STROMSUND                       63.867   15.583   373.0 1979-01-05 1995-11-30
022360-99999 HALLHAXASEN                     63.767   15.333   376.0 1977-07-01 2020-02-06
022420-99999 HOTING                          64.083   16.233   241.0 1973-01-01 2020-02-06
022450-99999 VILHELMINA                      64.583   16.850   349.0 1996-08-01 2020-02-06
022470-99999 KRANGEDE                        63.150   16.167   184.0 1973-01-01 2020-02-06
022540-99999 ASELE                           64.167   17.317   308.0 1977-07-01 2020-02-06
022590-99999 KRAMFORS SOLLEFTEA              63.049   17.769    10.4 1977-07-01 2020-02-06
022600-99999 VASTMARKUM                      63.133   18.250   143.0 1973-01-01 2020-02-06
022610-99999 LYCKSELE                        64.550   18.717   211.0 1973-01-01 2020-02-06
022620-99999 VUOGGATJALME                    66.567   16.350   500.0 1973-01-01 2004-03-06
022650-99999 HEMLING                         63.650   18.550   183.0 2001-07-01 2020-02-06
022670-99999 ORNSKOLDSVIK                    63.408   18.990   107.9 1979-08-02 2020-02-06
022690-99999 SKAGSUDDE                       63.183   19.017    11.0 1996-08-01 2020-02-06
022710-99999 NORSJO                          64.933   19.383   310.0 2001-07-01 2020-02-06
022820-99999 PETISTRASK                      64.567   19.700   258.0 2001-07-01 2020-02-06
022840-99999 JARNASKLUBB                     63.433   19.683     7.0 1973-01-01 2020-02-06
022860-99999 UMEA                            63.792   20.283     7.3 1977-07-01 2020-02-06
022880-99999 HOLMOGADD                       63.600   20.750     6.0 1935-01-01 2008-01-11
022930-99999 SKELLEFTEA                      64.625   21.077    47.9 1979-08-02 2020-02-06
022960-99999 BJUROKLUBB (LGT-H)              64.483   21.583    36.0 1935-01-01 2003-12-22
022970-99999 BJUROKLUBB                      64.483   21.583    43.0 2001-06-01 2020-02-06
023060-99999 RORBACKSNAS                     61.133   12.817   465.0 1977-07-01 2017-12-08
023070-99999 IDRE FJALL                      61.883   12.850   869.0 1973-01-01 2020-02-06
023080-99999 TANNAS                          62.450   12.667   724.0 1996-08-01 2020-02-06
023100-99999 STORSJO KAPELL                  62.800   13.067   583.0 1977-07-01 2005-01-23
023160-99999 SARNA                           61.700   13.183   425.0 1935-01-01 2005-05-23
023170-99999 DRAVAGEN                        62.100   13.617   566.0 2001-07-01 2020-02-06
023190-99999 BORTNAN                         62.750   13.850   467.0 2001-07-01 2020-02-06
023210-99999 ALVDALEN                        61.250   14.033   253.0 1973-01-01 2020-02-06
023240-99999 SVEG                            62.017   14.183   363.0 1937-01-01 2012-10-31
023250-99999 KLOVSJOHOJDEN                   62.500   14.150   803.0 1973-01-01 2020-02-06
